Model,SDL_coef,SDL_se,SDL_pval,R_squared,Adj_R_squared,N
1,2.0131390546654795,0.18513242453405954,1.5435998514733336e-27,0.00024104552521253542,0.00023900699804779713,490434
2,0.9406099195935811,0.1592453436317088,3.4931798241230852e-09,0.26073288204652967,0.2607238376776273,490434
3,0.7768256274328903,0.1557415306778037,6.105497196055684e-07,0.2931784145845657,0.2931510303538487,490434
4,0.7115612493271787,0.15426961948320617,3.980463469154339e-06,0.30657169877282453,0.30654059134940426,490434
5,1.0373772026009616,0.1480945097465898,2.4759792586223628e-12,0.3653777823331781,0.3651447761115333,490434
6,1.4837932463174386,0.1462790947488667,3.558516744097426e-24,0.3836240386732904,0.3833071623719766,490434
