Model,SDL_coef,SDL_se,SDL_pval,R_squared,Adj_R_squared,N
1,2.0131390546654795,0.18513242453405954,1.5435998514733336e-27,0.00024104552521253542,0.00023900699804779713,490434
2,0.823045738950126,0.15910682075832627,2.3056269814398447e-07,0.2619765587608912,0.2619675296074241,490434
3,0.6474393724519393,0.15444850792210327,2.7662364913144898e-05,0.30480953008844747,0.30478259647943895,490434
4,0.601459298706284,0.1532751569951452,8.708470599187584e-05,0.3154839965021329,0.3154532888873426,490434
5,0.9394286829145698,0.1476503858700709,1.9864290546175353e-10,0.369165729889657,0.36893411444085844,490434
6,1.382323924896853,0.1460278604859998,2.915223610503677e-21,0.3857261125289416,0.38541031689499683,490434
8,1.3973613349009124,0.14494950707236648,5.425667700499731e-22,0.39477482886039916,0.39446121445939575,490434
9,1.323658542711298,0.14280618772084988,1.8877306258695554e-20,0.4126006116646187,0.41229383626835603,490434
21,1.8877954858817572,0.21540817118702366,1.9186451734720156e-18,0.22443223028355408,0.2223779452161484,93121
22,6.014595004280535,0.6315240021312415,1.853534778158812e-21,0.2130402843104442,0.20505185428905126,20003
23,7.981224449964455,0.7707872183805236,4.9953179921406e-25,0.12089780557610108,0.11143264639523953,13050
24,1.0238394695415238,0.1905577295364627,7.753389797210931e-08,0.3857483463268435,0.38543005460069246,490434
25,1.1902290719533182,0.14908376184722477,1.4239943800286322e-15,0.3857953850112197,0.38547711765948256,490434
26,1.0022234749841445,0.19165628554431555,1.7024541251771198e-07,0.3858260986457166,0.38550283273752184,490434
