Variable,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6
SDL,"2.0131***
(0.1851)","0.8230***
(0.1591)","0.6474***
(0.1544)","0.6015***
(0.1533)","0.9394***
(0.1477)","1.3823***
(0.1460)"
num_paper_affiliations,-,"0.9303***
(0.0025)","0.9278***
(0.0024)","0.8943***
(0.0025)","0.8577***
(0.0027)","0.8422***
(0.0026)"
asinh_first_author_papers,-,"-0.1109***
(0.0073)","-0.2355***
(0.0071)","-0.1759***
(0.0072)","-0.1108***
(0.0070)","-0.0643***
(0.0070)"
asinh_first_author_citations,-,"0.0290***
(0.0044)","0.2032***
(0.0045)","0.1695***
(0.0045)","0.1169***
(0.0044)","0.0871***
(0.0044)"
asinh_last_author_papers,-,"-0.3650***
(0.0086)","-0.3294***
(0.0083)","-0.2702***
(0.0084)","-0.1922***
(0.0082)","-0.1098***
(0.0082)"
asinh_last_author_citations,-,"0.3461***
(0.0055)","0.3352***
(0.0054)","0.3007***
(0.0054)","0.1890***
(0.0053)","0.1229***
(0.0053)"
