Model,Description,N,SDL_coef,R_squared
21,AI only,93121,1.8877954858817572,0.22443223028355408
22,Robotics only,20003,6.014595004280535,0.2130402843104442
23,AI + Robotics,13050,7.981224449964455,0.12089780557610108
24,AI × SDL interaction,490434,1.0238394695415238,0.3857483463268435
25,Robotics × SDL interaction,490434,1.1902290719533182,0.3857953850112197
26,Three-way interaction,490434,1.0022234749841445,0.3858260986457166
