Variable,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6
author_count,"0.1047***
(0.0007)","0.1045***
(0.0007)","-0.0062***
(0.0007)","-0.0205***
(0.0007)","-0.0187***
(0.0006)","-0.0187***
(0.0006)"
SDL,-,"2.3714***
(0.0922)","1.6781***
(0.0743)","1.9233***
(0.0717)","1.7171***
(0.0653)","1.7243***
(0.0953)"
author_count:SDL,-,-,-,-,-,"-0.0009
(0.0089)"
num_paper_affiliations,-,-,"0.2138***
(0.0013)","0.1530***
(0.0013)","0.0590***
(0.0013)","0.0590***
(0.0013)"
asinh_first_author_papers,-,-,"-0.6950***
(0.0034)","-0.5513***
(0.0034)","-0.4559***
(0.0031)","-0.4559***
(0.0031)"
asinh_first_author_citations,-,-,"0.5987***
(0.0021)","0.5149***
(0.0021)","0.4439***
(0.0019)","0.4439***
(0.0019)"
asinh_last_author_papers,-,-,"-0.3840***
(0.0040)","-0.2289***
(0.0040)","-0.1743***
(0.0037)","-0.1743***
(0.0037)"
asinh_last_author_citations,-,-,"0.3175***
(0.0026)","0.2233***
(0.0026)","0.1615***
(0.0024)","0.1615***
(0.0024)"
