Model,author_count_coef,author_count_pval,SDL_coef,SDL_pval,R_squared,N,interaction_coef,interaction_pval
1,0.10474010746058275,0.0,,,0.04235417814337361,490434,,
2,0.10445616436781523,0.0,2.3714065153111425,6.709560995215234e-146,0.04364518656197813,490434,,
3,-0.0062146729563516195,1.2303106721100869e-20,1.6780737742069407,9.396487901062919e-113,0.37793893044371774,490434,,
4,-0.020505566651480907,6.62740728791509e-209,1.9232587782845192,3.4144953188136944e-158,0.4243622704834008,490434,,
5,-0.018706342718017868,6.090929328800689e-196,1.717106076110893,3.0892920432599346e-152,0.5255516895829663,490434,,
6,-0.018703293765943353,1.863722901180868e-195,1.724334192211281,3.6559261090005744e-73,0.5255517000854804,490434,-0.0009271353557748149,0.9170358865110696
