Variable,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6
author_count,"0.1047***
(0.0007)","0.1045***
(0.0007)","0.0135***
(0.0007)","-0.0140***
(0.0007)","-0.0139***
(0.0007)","-0.0139***
(0.0007)"
SDL,-,"2.3714***
(0.0922)","1.7790***
(0.0809)","2.1127***
(0.0756)","1.8388***
(0.0681)","1.8729***
(0.0994)"
author_count:SDL,-,-,-,-,-,"-0.0044
(0.0093)"
num_paper_affiliations,-,-,"0.2585***
(0.0014)","0.1716***
(0.0014)","0.0632***
(0.0013)","0.0632***
(0.0013)"
asinh_first_author_papers,-,-,"-0.5336***
(0.0036)","-0.3967***
(0.0034)","-0.3240***
(0.0031)","-0.3240***
(0.0031)"
asinh_first_author_citations,-,-,"0.4136***
(0.0021)","0.3581***
(0.0020)","0.3084***
(0.0018)","0.3084***
(0.0018)"
asinh_last_author_papers,-,-,"-0.3053***
(0.0040)","-0.2048***
(0.0039)","-0.1742***
(0.0035)","-0.1742***
(0.0035)"
asinh_last_author_citations,-,-,"0.2625***
(0.0025)","0.1930***
(0.0024)","0.1466***
(0.0022)","0.1466***
(0.0022)"
