Model,Description,SDL_coef,SDL_se,SDL_pval,R_squared,Adj_R_squared,N,CS_coef,CS_pval,Interaction_coef,Interaction_pval
1,Paper-level CS,1.3827454116992404,0.146058855345337,2.8908650601723522e-21,0.3857261786985433,0.38540912929467286,490434,-0.004680491459388931,0.8881429439980281,,
2,Author-level CS,1.3822148795127975,0.14602903806529519,2.9382707331140416e-21,0.38573022299218584,0.38541192187492046,490434,-0.034147681587524924,0.07326876336682225,,
3,SDL × CS interaction,1.1027857127759917,0.1739217231642776,2.2891938016300625e-10,0.3857371944722451,0.3854188969674477,490434,-0.009060178133014078,0.7856193332116916,0.9449424086400441,0.0030276918552168733
4,Last author CS × SDL,1.0631048131858252,0.16659757864789787,1.757764479209144e-10,0.3857460710081969,0.38542777810302564,490434,-0.0060741341544702865,0.7419142048870441,1.3704985670320375,6.828935434361238e-05
5,Citations with CS,1.4239891327033267,0.06490286348671041,1.206553263595737e-106,0.66977648029931,0.6696046916887979,490434,0.12718066378297221,1.4314017850472557e-24,0.3059769630970847,0.010089055746932675
