Model,Description,SDL_coef,SDL_se,SDL_pval,R_squared,Adj_R_squared,N,CS_coef,CS_pval,Interaction_coef,Interaction_pval
1,Paper-level CS,1.4835623929707131,0.1463097945911502,3.6961147862479714e-24,0.38362408447180196,0.3833059500994722,490434,0.0025809543542428238,0.9382864285643078,,
2,Author-level CS,1.4841135014338427,0.14627656663801863,3.4733894572703484e-24,0.3836480097304238,0.38332862965594383,490434,0.04872456067736906,0.007793705905937594,,
3,SDL × CS interaction,1.1924718015532028,0.17422137920618438,7.679122709785927e-12,0.3836359653187401,0.38331657900311045,490434,-0.0019711993890015288,0.9528926580103365,0.9824801735476005,0.002088020670916791
4,Last author CS × SDL,1.447970884854833,0.1681348353016248,7.202754549966889e-18,0.38363937878065313,0.3833199942338045,490434,-0.06819416130871495,0.0005119174223124875,0.14735583073303574,0.6639453245242698
5,Citations with CS,1.46847054591331,0.06629290583567266,1.1477607943390164e-108,0.6554943577508165,0.6553151393061423,490434,0.1179786202152603,1.5139625938529165e-20,0.35083991513886875,0.003874888947293756
